Iteration,Time (s),Memory Before (KB),Memory After (KB),Memory Used (KB),Correct
1,0.283434,1692,2468,776,1
2,0.279038,1660,2436,776,1
3,0.279660,1648,2424,776,1
4,0.276411,1648,2424,776,1
5,0.290695,1732,2504,772,1
6,0.331191,1688,2464,776,1
7,0.355097,1520,2424,904,1
8,0.333343,1692,2468,776,1
9,0.279908,1732,2372,640,1
10,0.274666,1732,2504,772,1
11,0.274340,1644,2420,776,1
12,0.276486,1644,2420,776,1
13,0.276994,1532,2436,904,1
14,0.289568,1656,2432,776,1
15,0.293836,1572,2340,768,1
16,0.330112,1644,2420,776,1
17,0.329411,1516,2420,904,1
18,0.299814,1664,2440,776,1
19,0.277570,1688,2464,776,1
20,0.288548,1640,2416,776,1
21,0.276810,1448,2352,904,1
22,0.276281,1660,2436,776,1
23,0.277464,1692,2340,648,1
24,0.292346,1732,2504,772,1
25,0.339644,1732,2504,772,1
26,0.405915,1688,2464,776,1
27,0.328230,1520,2424,904,1
28,0.282939,1688,2464,776,1
29,0.277218,1648,2424,776,1
30,0.276316,1692,2468,776,1
31,0.274649,1660,2436,776,1
32,0.275688,1732,2372,640,1
33,0.290048,1664,2440,776,1
34,0.326953,1692,2468,776,1
35,0.418140,1664,2440,776,1
36,0.331671,1604,2372,768,1
37,0.299153,1644,2420,776,1
38,0.281688,1688,2464,776,1
39,0.284955,1732,2372,640,1
40,0.277838,1732,2504,772,1
41,0.282141,1732,2372,640,1
42,0.280957,1688,2464,776,1
43,0.290910,1660,2436,776,1
44,0.353088,1528,2432,904,1
45,0.362110,1640,2416,776,1
46,0.320062,1656,2432,776,1
47,0.283844,1648,2424,776,1
48,0.278151,1664,2440,776,1
49,0.281313,1648,2296,648,1
50,0.280545,1648,2424,776,1
51,0.279271,1692,2468,776,1
52,0.290611,1696,2472,776,1
53,0.325667,1732,2372,640,1
54,0.349795,1660,2436,776,1
55,0.329433,1732,2504,772,1
56,0.292567,1648,2424,776,1
57,0.280756,1564,2468,904,1
58,0.278052,1732,2504,772,1
59,0.277973,1560,2332,772,1
60,0.277776,1732,2504,772,1
61,0.284486,1640,2416,776,1
62,0.289706,1648,2424,776,1
63,0.355331,1640,2416,776,1
64,0.340917,1696,2472,776,1
65,0.316491,1732,2504,772,1
66,0.298060,1732,2372,640,1
67,0.278767,1640,2416,776,1
68,0.278971,1732,2372,640,1
69,0.276667,1656,2432,776,1
70,0.278561,1732,2504,772,1
71,0.289648,1660,2436,776,1
72,0.288947,1688,2464,776,1
73,0.350496,1732,2504,772,1
74,0.359196,1664,2440,776,1
75,0.310214,1732,2504,772,1
76,0.278929,1648,2424,776,1
77,0.279285,1688,2464,776,1
78,0.279912,1656,2432,776,1
79,0.279020,1644,2420,776,1
80,0.280580,1644,2420,776,1
81,0.292768,1732,2504,772,1
82,0.339935,1732,2504,772,1
83,0.335681,1696,2472,776,1
84,0.329746,1648,2424,776,1
85,0.294739,1656,2432,776,1
86,0.279721,1532,2436,904,1
87,0.282780,1732,2504,772,1
88,0.278759,1696,2472,776,1
89,0.278881,1640,2416,776,1
90,0.289667,1724,2364,640,1
91,0.309706,1732,2504,772,1
92,0.335544,1644,2420,776,1
93,0.332767,1692,2468,776,1
94,0.300847,1648,2424,776,1
95,0.280166,1648,2424,776,1
96,0.277806,1512,2416,904,1
97,0.277406,1644,2420,776,1
98,0.279795,1640,2416,776,1
99,0.279042,1600,2500,900,1
100,0.287328,1688,2464,776,1
